#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chrUn_KI270414v1	1	2489	1	1081	43.4311	0.434311	38.6	4
chrUn_KI270419v1	1	1029	1	1027	99.8056	0.998056	37.3	53
chrUn_KI270418v1	1	2145	2	2141	99.8135	1.55291	38.2	30.5
chrUn_KI270424v1	1	2140	2	2139	99.9533	1.99393	33.9	60
chrUn_KI270417v1	1	2043	4	2042	99.9511	1.62066	38.2	60
chrUn_KI270422v1	1	1445	1	142	9.82699	0.0982699	41.7	1
chrUn_KI270423v1	1	981	2	699	71.2538	1.41998	40.2	38.5
chrUn_KI270429v1	1	1361	3	775	56.9434	1.00294	24	60
chrUn_KI270442v1	1	392061	939	371775	94.8258	17.4144	34	45.6
chrUn_KI270466v1	1	1233	71	1233	100	43.8743	35.4	37
chrUn_KI270465v1	1	1774	2	850	47.9143	0.654453	31.1	37.5
chrUn_KI270467v1	1	3920	1020	3920	100	718.935	36.7	47.6
chrUn_KI270435v1	1	92983	168	92943	99.957	14.4571	33.6	48.2
chrUn_KI270438v1	1	112505	3906	84189	74.8313	272.121	31.9	32.2
chrUn_KI270468v1	1	4055	4	4051	99.9014	2.59679	36.5	60
chrUn_KI270510v1	1	2415	12	2415	100	10.7954	37.4	20.4
chrUn_KI270509v1	1	2318	2	1957	84.4262	1.67213	38.5	60
chrUn_KI270518v1	1	2186	10	2186	100	6.9236	34.2	23.4
chrUn_KI270508v1	1	1951	4	1948	99.8462	1.40953	34.5	49.8
chrUn_KI270516v1	1	1300	12	1300	100	11.0946	35.4	55.9
chrUn_KI270512v1	1	22689	32	22685	99.9824	6.51845	35.4	38.6
chrUn_KI270519v1	1	138126	225	134820	97.6065	12.173	34.5	42.3
chrUn_KI270522v1	1	5674	12	5516	97.2154	4.47744	36.1	46.6
chrUn_KI270511v1	1	8127	24	8123	99.9508	17.7885	35.7	49.5
chrUn_KI270515v1	1	6361	38	6359	99.9686	23.1405	36.9	50.9
chrUn_KI270507v1	1	5353	7	5353	100	4.16645	37.7	60
chrUn_KI270517v1	1	3253	17	3253	100	9.65232	36.7	55.8
chrUn_KI270529v1	1	1899	10	1899	100	5.6851	34.7	22.9
chrUn_KI270528v1	1	2983	3	525	17.5997	0.375126	36.2	1.67
chrUn_KI270530v1	1	2168	1	1091	50.3229	0.503229	40.7	39
chrUn_KI270538v1	1	91309	268	64188	70.2976	15.2642	35.2	44
chrUn_KI270587v1	1	2969	2	2626	88.4473	1.01684	36.7	33
chrUn_KI270580v1	1	1553	1	164	10.5602	0.105602	27.2	2
chrUn_KI270581v1	1	7046	1	2964	42.0664	0.420664	37.1	3
chrUn_KI270579v1	1	31033	9	31026	99.9774	2.90488	34.4	30.3
chrUn_KI270589v1	1	44474	88	32792	73.733	7.28104	35.5	29.3
chrUn_KI270590v1	1	4685	21	4684	99.9787	9.35496	35.9	32.5
chrUn_KI270584v1	1	4513	11	4513	100	6.58564	35.6	55.8
chrUn_KI270582v1	1	6504	2	2737	42.0818	0.836716	35.2	55
chrUn_KI270588v1	1	6158	7	6155	99.9513	4.19925	35	40.1
chrUn_KI270593v1	1	3041	4	2755	90.5952	1.54489	37.4	50
chrUn_KI270591v1	1	5796	27	5796	100	12.9182	34.1	25.7
chrUn_KI270330v1	1	1652	6	1652	100	5.45157	33.8	38.7
chrUn_KI270333v1	1	2699	295	2699	100	174.585	36.2	32.9
chrUn_KI270340v1	1	1428	1	880	61.6246	0.616246	39.1	14
chrUn_KI270336v1	1	1026	57	1026	100	21.0585	36.5	17.1
chrUn_KI270337v1	1	1121	83	1118	99.7324	38.8921	37.4	23.5
chrUn_KI270366v1	1	8320	6	7802	93.774	1.28209	39.1	5.83
chrUn_KI270396v1	1	1880	1	952	50.6383	0.506383	39.9	32
chrUn_KI270393v1	1	1308	1	431	32.9511	0.329511	34.1	1
chrUn_KI270384v1	1	1658	1	410	24.7286	0.247286	37.1	33
chrUn_KI270382v1	1	4215	2	1927	45.7177	0.457177	20.9	0.5
chrUn_KI270374v1	1	2656	1	1448	54.5181	0.545181	27.6	3
chrUn_KI270372v1	1	1650	1	1494	90.5455	0.905455	37.6	22
chrUn_KI270448v1	1	7992	7	7992	100	5.14502	34.5	60
chrUn_KI270521v1	1	7642	7	7642	100	4.623	34.3	47.4
chrUn_GL000195v1	1	182896	238	181244	99.0968	13.1656	34.7	39.8
chrUn_GL000219v1	1	179198	188	176658	98.5826	9.32052	34	52.7
chrUn_GL000220v1	1	161802	1741	143799	88.8734	118.998	30.6	7.87
chrUn_GL000224v1	1	179693	430	177062	98.5358	19.5044	33.1	44.2
chrUn_KI270741v1	1	157432	58	135619	86.1445	4.27092	33.4	16.3
chrUn_GL000226v1	1	15008	1418	15008	100	626.65	35.2	5.43
chrUn_GL000213v1	1	164239	27	80006	48.7132	1.42771	33.6	31
chrUn_KI270743v1	1	210658	329	210389	99.8723	14.5769	33.6	48.6
chrUn_KI270744v1	1	168472	626	168472	100	22.3642	33	36.1
chrUn_KI270745v1	1	41891	11	20701	49.4163	1.28622	33.5	31.6
chrUn_KI270746v1	1	66486	69	66477	99.9865	9.25826	34.1	54.6
chrUn_KI270747v1	1	198735	102	194902	98.0713	6.89186	34.8	27.1
chrUn_KI270748v1	1	93321	29	77307	82.8399	2.32861	31	23.4
chrUn_KI270749v1	1	158759	146	151650	95.5221	9.42699	33	53.7
chrUn_KI270750v1	1	148850	126	148764	99.9422	6.6962	34	41.6
chrUn_KI270751v1	1	150742	292	150422	99.7877	20.74	34.6	37.7
chrUn_KI270753v1	1	62944	56	62837	99.83	7.18834	33.5	29.8
chrUn_KI270754v1	1	40191	115	40191	100	30.4229	32.3	31
chrUn_KI270755v1	1	36723	38	25742	70.0978	2.10631	34.5	28.7
chrUn_KI270756v1	1	79590	79	67227	84.4666	9.07769	34.2	24.6
chrUn_KI270757v1	1	71251	229	61510	86.3286	23.7916	36	39.4
chrUn_GL000214v1	1	137718	436	137714	99.9971	26.1785	33.6	26.9
chrUn_KI270742v1	1	186739	317	185187	99.1689	19.2901	34.2	37
chrUn_GL000216v2	1	176608	681	174401	98.7503	25.4225	33.5	19.9
chrUn_GL000218v1	1	161147	178	161146	99.9994	10.1547	34.4	47.5
chrEBV	1	171823	1	678	0.394592	0.00394592	7.1	1
chrY_KI270740v1_random	1	37240	0	0	0	0	0	0
chrUn_KI270304v1	1	2165	0	0	0	0	0	0
chrUn_KI270305v1	1	1472	0	0	0	0	0	0
chrUn_KI270322v1	1	21476	0	0	0	0	0	0
chrUn_KI270315v1	1	2276	0	0	0	0	0	0
chrUn_KI270312v1	1	998	0	0	0	0	0	0
chrUn_KI270317v1	1	37690	0	0	0	0	0	0
chrUn_KI270420v1	1	2321	0	0	0	0	0	0
chrUn_KI270425v1	1	1884	0	0	0	0	0	0
chrUn_KI270539v1	1	993	0	0	0	0	0	0
chrUn_KI270544v1	1	1202	0	0	0	0	0	0
chrUn_KI270548v1	1	1599	0	0	0	0	0	0
chrUn_KI270583v1	1	1400	0	0	0	0	0	0
chrUn_KI270329v1	1	1040	0	0	0	0	0	0
chrUn_KI270334v1	1	1368	0	0	0	0	0	0
chrUn_KI270335v1	1	1048	0	0	0	0	0	0
chrUn_KI270338v1	1	1428	0	0	0	0	0	0
chrUn_KI270363v1	1	1803	0	0	0	0	0	0
chrUn_KI270364v1	1	2855	0	0	0	0	0	0
chrUn_KI270362v1	1	3530	0	0	0	0	0	0
chrUn_KI270378v1	1	1048	0	0	0	0	0	0
chrUn_KI270379v1	1	1045	0	0	0	0	0	0
chrUn_KI270389v1	1	1298	0	0	0	0	0	0
chrUn_KI270390v1	1	2387	0	0	0	0	0	0
chrUn_KI270387v1	1	1537	0	0	0	0	0	0
chrUn_KI270395v1	1	1143	0	0	0	0	0	0
chrUn_KI270388v1	1	1216	0	0	0	0	0	0
chrUn_KI270394v1	1	970	0	0	0	0	0	0
chrUn_KI270386v1	1	1788	0	0	0	0	0	0
chrUn_KI270391v1	1	1484	0	0	0	0	0	0
chrUn_KI270383v1	1	1750	0	0	0	0	0	0
chrUn_KI270392v1	1	971	0	0	0	0	0	0
chrUn_KI270381v1	1	1930	0	0	0	0	0	0
chrUn_KI270385v1	1	990	0	0	0	0	0	0
chrUn_KI270376v1	1	1136	0	0	0	0	0	0
chrUn_KI270373v1	1	1451	0	0	0	0	0	0
chrUn_KI270375v1	1	2378	0	0	0	0	0	0
chrUn_KI270371v1	1	2805	0	0	0	0	0	0
chrUn_KI270752v1	1	27745	0	0	0	0	0	0
